ssn,age,education,marital-status,relationship,sex,income
567-07-6166,72.0,,Married-spouse-absent,Not-in-family,Male,<=50K
164-55-7739,,HS-grad,,Husband,,>50K
557-09-4594,30.0,10th,Never-married,Own-child,Male,<=50K
440-29-4839,26.0,Bachelors,Separated,,Male,
305-98-8943,41.0,Some-college,Divorced,Unmarried,,
830-37-4692,41.0,Masters,Married-civ-spouse,,Female,
420-70-0245,37.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
358-04-6682,63.0,11th,Married-civ-spouse,Husband,,>50K
662-53-0711,29.0,Masters,Married-civ-spouse,Wife,Male,<=50K
841-89-1891,29.0,,Married-civ-spouse,Wife,Female,>50K
716-92-2603,29.0,Assoc-voc,Married-civ-spouse,Wife,,>50K
218-88-8206,70.0,Bachelors,Divorced,,,>50K
272-38-9434,27.0,Some-college,Never-married,Unmarried,Male,
950-15-3561,44.0,HS-grad,Never-married,Not-in-family,Male,<=50K
442-16-8304,21.0,Some-college,Married-civ-spouse,Husband,,
486-48-6486,23.0,HS-grad,Never-married,Not-in-family,Female,
734-21-3758,53.0,,Divorced,Not-in-family,Female,
562-22-3586,42.0,,Never-married,Not-in-family,,<=50K
522-48-1571,27.0,,,Not-in-family,,
708-26-1670,42.0,Some-college,Married-civ-spouse,Husband,Male,
720-39-3119,31.0,Bachelors,Never-married,Not-in-family,,<=50K
277-48-7714,,Assoc-voc,Married-civ-spouse,,,
217-72-1130,23.0,,Never-married,,Female,
046-62-1621,48.0,11th,Married-civ-spouse,Husband,,
910-56-5109,34.0,Bachelors,Married-civ-spouse,Husband,Male,
219-04-1768,22.0,,Never-married,Own-child,Male,
481-20-3930,,HS-grad,Divorced,Not-in-family,,<=50K
435-90-2947,38.0,,,,Female,<=50K
955-06-7566,31.0,Bachelors,Divorced,Own-child,,>50K
475-15-3562,24.0,HS-grad,Never-married,Not-in-family,Male,<=50K
790-47-9114,37.0,Bachelors,Married-civ-spouse,Husband,Male,
797-35-8721,31.0,,Separated,Unmarried,,
049-50-8599,30.0,,,Husband,,<=50K
246-31-4496,51.0,Bachelors,Married-civ-spouse,Husband,Male,
782-49-3856,27.0,,Never-married,,,>50K
233-35-3808,,Some-college,Never-married,Not-in-family,Female,
661-48-6485,24.0,HS-grad,Never-married,Own-child,Male,
456-08-1080,42.0,HS-grad,Married-civ-spouse,Husband,,
108-10-8108,45.0,HS-grad,,Not-in-family,,<=50K
669-96-3144,43.0,Doctorate,Married-civ-spouse,Husband,,>50K
731-63-3905,19.0,,,Own-child,Female,<=50K
160-53-4397,30.0,,Never-married,Other-relative,,
326-99-6314,34.0,,Married-civ-spouse,Husband,,
407-21-7444,42.0,,,,,
435-53-4397,43.0,,Married-civ-spouse,,Male,
616-52-3340,45.0,HS-grad,,Not-in-family,Male,<=50K
433-78-3783,28.0,10th,Never-married,Own-child,,
128-25-5528,40.0,,,Husband,,
812-22-3586,31.0,Bachelors,Never-married,,Male,
880-06-7566,22.0,12th,Never-married,Not-in-family,,<=50K
445-48-5257,31.0,Some-college,Never-married,Not-in-family,Male,<=50K
455-15-9704,28.0,HS-grad,,Own-child,,
832-18-6731,18.0,HS-grad,Never-married,Own-child,,<=50K
710-16-5846,38.0,HS-grad,Married-civ-spouse,,Male,<=50K
032-37-1007,21.0,HS-grad,Never-married,Own-child,Male,<=50K
928-96-1915,,HS-grad,Divorced,,,<=50K
251-28-9926,,Masters,Married-civ-spouse,Husband,,
333-20-0245,30.0,Bachelors,Never-married,,Female,<=50K
841-06-2652,28.0,Masters,Married-civ-spouse,Husband,,<=50K
722-78-8697,23.0,Some-college,Never-married,Own-child,,<=50K
188-45-2088,30.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
446-99-0171,,HS-grad,Married-civ-spouse,Husband,,<=50K
050-76-7813,43.0,Some-college,Married-civ-spouse,,Male,<=50K
241-79-9754,41.0,Some-college,Never-married,Not-in-family,Female,
159-61-3021,19.0,HS-grad,Never-married,Own-child,Male,<=50K
825-98-2800,48.0,HS-grad,Never-married,Not-in-family,Female,
085-59-5823,26.0,,Never-married,Not-in-family,,<=50K
862-16-2161,73.0,,Never-married,Not-in-family,Female,
168-79-6068,35.0,,Married-civ-spouse,Husband,,>50K
877-73-3414,21.0,Bachelors,,Own-child,,<=50K
106-14-2506,43.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
672-48-1571,61.0,Doctorate,Married-civ-spouse,,Male,>50K
673-40-2947,58.0,HS-grad,,Husband,,<=50K
651-35-1350,17.0,,,,,<=50K
270-23-9557,21.0,12th,Never-married,Own-child,,
841-55-4053,64.0,Masters,Divorced,Own-child,Female,
968-79-6067,24.0,,,Own-child,Female,
731-72-6043,24.0,,Never-married,Other-relative,Female,<=50K
625-03-0711,26.0,HS-grad,,,Male,>50K
738-66-7075,36.0,HS-grad,Married-civ-spouse,Husband,Male,
000-98-2800,,Some-college,,Husband,Male,
524-78-5011,47.0,,Married-civ-spouse,Husband,Female,<=50K
619-50-2456,25.0,,Never-married,,Female,<=50K
065-69-4103,,,Married-civ-spouse,Husband,,<=50K
119-50-2456,,,,Not-in-family,,>50K
255-71-2530,30.0,,,Not-in-family,Female,<=50K
185-50-3685,,Bachelors,Never-married,Not-in-family,,<=50K
592-84-3979,33.0,,Married-civ-spouse,Husband,Male,
685-19-6559,40.0,HS-grad,Divorced,,,>50K
295-66-9532,22.0,HS-grad,Never-married,Not-in-family,,<=50K
593-67-3218,46.0,,Married-civ-spouse,Husband,Male,
616-67-6903,25.0,Bachelors,Never-married,Not-in-family,,<=50K
766-18-5502,43.0,Masters,,Husband,,
426-35-1350,43.0,Bachelors,,Husband,,
210-01-2284,62.0,HS-grad,,Husband,Male,<=50K
812-89-9262,42.0,Some-college,Divorced,Unmarried,Female,
488-69-7788,35.0,Masters,Married-civ-spouse,Wife,,
029-33-0466,,HS-grad,Never-married,Other-relative,,<=50K
277-88-6977,35.0,Some-college,Married-civ-spouse,Wife,Male,<=50K
853-37-8377,25.0,,Never-married,Not-in-family,,<=50K
937-99-1399,27.0,,Divorced,,Female,<=50K
974-81-5723,31.0,Bachelors,Married-civ-spouse,Husband,,<=50K
548-71-0073,43.0,Masters,Divorced,Not-in-family,,>50K
809-88-9434,38.0,Bachelors,,Husband,Female,<=50K
368-39-6805,53.0,,Married-civ-spouse,,,<=50K
163-29-8525,47.0,Bachelors,Married-civ-spouse,Wife,Male,<=50K
281-57-2481,25.0,11th,,Own-child,,
233-87-5921,45.0,,Never-married,,,
468-36-6092,44.0,HS-grad,Divorced,Not-in-family,Female,<=50K
919-68-6731,21.0,,Married-civ-spouse,,Male,
641-73-8328,22.0,Some-college,Never-married,Not-in-family,Male,>50K
914-95-7001,,HS-grad,Never-married,Own-child,,<=50K
289-28-1326,48.0,HS-grad,Married-civ-spouse,Husband,Male,
409-67-4446,56.0,,,Husband,Male,>50K
719-59-4593,23.0,Assoc-voc,Never-married,,Male,>50K
254-20-7616,29.0,,Never-married,,Female,<=50K
824-69-2873,,,Never-married,,Male,>50K
170-57-7395,37.0,Some-college,Never-married,,Female,<=50K
803-96-1915,46.0,,Married-civ-spouse,Husband,,
084-88-9434,54.0,,Married-civ-spouse,Husband,,>50K
319-56-3881,37.0,Some-college,Married-civ-spouse,,,
191-52-3341,43.0,Assoc-acdm,Married-civ-spouse,,,
054-39-1891,20.0,11th,,Own-child,,<=50K
201-65-8476,44.0,Some-college,Separated,,,>50K
961-48-6485,21.0,Some-college,Never-married,Not-in-family,,>50K
354-66-8304,,HS-grad,Married-civ-spouse,Husband,,>50K
239-61-9164,51.0,Bachelors,Married-civ-spouse,,Male,>50K
609-64-3734,51.0,Assoc-voc,Divorced,Not-in-family,Male,<=50K
148-55-6510,42.0,,Married-civ-spouse,,Female,
293-64-2505,29.0,HS-grad,Married-civ-spouse,Husband,,
630-98-8942,22.0,Some-college,Never-married,Own-child,,
943-79-6067,40.0,Some-college,Married-civ-spouse,Wife,Female,>50K
441-76-9041,42.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
131-17-3218,34.0,HS-grad,Divorced,,,
837-96-0687,34.0,Some-college,Divorced,Unmarried,Male,
381-35-7493,27.0,Some-college,Never-married,Own-child,Male,
348-24-9385,,11th,Married-civ-spouse,Wife,Male,<=50K
333-41-5233,,Prof-school,Never-married,Not-in-family,Male,
389-15-8476,40.0,Some-college,,Not-in-family,Male,<=50K
625-12-2849,37.0,HS-grad,,Husband,,<=50K
967-56-7566,38.0,11th,Married-civ-spouse,,Male,
646-37-5920,28.0,Bachelors,Never-married,Own-child,,
189-15-8476,43.0,Bachelors,Married-civ-spouse,Husband,Male,
065-84-7665,55.0,,Divorced,Unmarried,Female,<=50K
027-51-8427,51.0,HS-grad,Separated,Not-in-family,Male,<=50K
275-95-2088,59.0,,Married-civ-spouse,Husband,Male,<=50K
930-46-6829,66.0,HS-grad,Married-civ-spouse,,Male,
775-03-0711,20.0,,Never-married,Own-child,Female,<=50K
075-36-8550,63.0,Assoc-acdm,,Not-in-family,Male,
069-10-3194,40.0,,Never-married,Own-child,,<=50K
492-65-9704,22.0,,,Own-child,Female,
687-19-2874,60.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
945-08-5994,44.0,Assoc-acdm,,,Female,
139-12-7763,63.0,HS-grad,Married-civ-spouse,,,<=50K
382-86-2407,,,,Not-in-family,,
442-50-6142,28.0,,Never-married,,Male,
194-22-6044,26.0,Bachelors,Married-civ-spouse,Wife,Female,<=50K
208-81-4496,36.0,,,,Male,<=50K
274-96-9287,39.0,Some-college,Never-married,Other-relative,Male,<=50K
253-31-6953,26.0,Bachelors,Married-civ-spouse,Husband,,
560-87-2235,41.0,,Married-civ-spouse,Husband,,<=50K
985-59-5822,34.0,Some-college,Never-married,Not-in-family,,
711-21-0072,,,Divorced,Own-child,Male,<=50K
276-44-3488,,HS-grad,Married-civ-spouse,Husband,Male,
726-93-4888,53.0,,Married-civ-spouse,Husband,Male,
237-19-2874,38.0,HS-grad,Married-civ-spouse,Husband,,
210-53-4397,63.0,9th,Married-civ-spouse,,,<=50K
985-84-1522,,,Married-civ-spouse,,Male,
798-74-0785,18.0,,Never-married,Own-child,Female,<=50K
528-43-9802,33.0,,,Husband,Male,<=50K
833-66-0932,,,Married-civ-spouse,Husband,Female,<=50K
326-71-9901,24.0,Bachelors,Never-married,Not-in-family,,<=50K
053-22-4815,42.0,Assoc-voc,Married-civ-spouse,,,
761-17-9360,27.0,,Never-married,Own-child,,
917-04-5453,40.0,Some-college,Married-civ-spouse,,Male,
206-51-1056,46.0,,Never-married,Not-in-family,,<=50K
238-54-4225,34.0,HS-grad,Married-civ-spouse,Husband,Male,
288-32-9238,54.0,HS-grad,Married-civ-spouse,,Male,
588-42-1375,31.0,Bachelors,Never-married,Not-in-family,Female,
729-72-9729,35.0,Doctorate,Married-civ-spouse,Husband,Male,
672-23-5871,33.0,Some-college,,,Male,
903-37-8377,49.0,HS-grad,Widowed,Unmarried,Female,<=50K
315-66-3390,36.0,Bachelors,Separated,Not-in-family,,
413-75-9213,36.0,HS-grad,,Husband,Male,<=50K
745-97-6657,52.0,,Divorced,,,>50K
778-28-6240,17.0,,Never-married,Own-child,Male,<=50K
680-92-7517,38.0,HS-grad,Never-married,,,
540-54-0540,44.0,Preschool,,Wife,Female,<=50K
189-37-3464,32.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
963-48-2800,50.0,Some-college,Married-civ-spouse,Husband,,>50K
106-87-9606,45.0,HS-grad,Divorced,Not-in-family,Female,<=50K
194-10-3193,60.0,HS-grad,Divorced,,,<=50K
415-20-2702,62.0,Bachelors,,Not-in-family,,<=50K
083-72-2358,42.0,,Never-married,Other-relative,Female,
906-05-0367,25.0,Assoc-acdm,,Not-in-family,Male,<=50K
766-00-1227,57.0,,Married-civ-spouse,Husband,Female,<=50K
591-49-2628,22.0,11th,Never-married,Not-in-family,,
021-99-0171,46.0,Some-college,Divorced,Not-in-family,Female,<=50K
462-16-2161,25.0,HS-grad,Never-married,Not-in-family,,
919-93-2431,26.0,Some-college,,Wife,,
563-29-8525,38.0,Masters,,Husband,Male,
815-90-9090,35.0,,Married-civ-spouse,Husband,,<=50K
293-12-0392,21.0,,,Not-in-family,,
840-29-4839,44.0,,Married-civ-spouse,Husband,,>50K
708-87-5920,52.0,Some-college,,Wife,Male,<=50K
005-06-7567,55.0,,,Not-in-family,,<=50K
962-49-9999,24.0,HS-grad,,,,<=50K
001-25-9213,18.0,,Never-married,Own-child,,
982-46-3143,17.0,,,Not-in-family,,<=50K
065-20-2702,28.0,Some-college,Married-civ-spouse,Husband,,
445-79-2382,78.0,Masters,,Not-in-family,,<=50K
961-64-0048,41.0,,Never-married,Own-child,Male,<=50K
835-84-1522,53.0,,Divorced,Unmarried,,
139-37-3464,35.0,Some-college,Married-civ-spouse,,Female,
758-32-3095,42.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
287-37-7149,24.0,Assoc-acdm,,,,
383-26-1670,27.0,Masters,Never-married,Not-in-family,Male,
335-84-1523,52.0,5th-6th,Never-married,,,<=50K
580-83-5380,30.0,,Never-married,Not-in-family,,>50K
691-36-9778,45.0,Prof-school,Married-civ-spouse,Wife,,>50K
199-72-3587,42.0,HS-grad,Married-civ-spouse,Wife,Male,<=50K
970-23-9556,23.0,,,Own-child,Male,<=50K
197-26-6584,44.0,Some-college,Married-civ-spouse,Husband,Male,
610-16-5847,41.0,HS-grad,Never-married,Other-relative,Male,<=50K
283-69-1645,54.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
734-85-8721,45.0,HS-grad,Divorced,Other-relative,Female,<=50K
810-47-2972,39.0,Some-college,,Not-in-family,,
800-49-1399,29.0,Doctorate,,Unmarried,,<=50K
870-14-7419,22.0,Some-college,,Husband,,<=50K
941-73-8328,31.0,HS-grad,,,Male,>50K
784-79-7296,67.0,Assoc-voc,Widowed,Unmarried,Male,>50K
527-88-6977,55.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
745-36-2407,41.0,HS-grad,Divorced,Not-in-family,Female,<=50K
151-84-2751,35.0,Some-college,Married-civ-spouse,Husband,,<=50K
490-75-5527,50.0,10th,Married-civ-spouse,Wife,,
478-68-5503,64.0,HS-grad,Married-civ-spouse,Husband,,
727-39-5576,51.0,HS-grad,Divorced,Unmarried,,<=50K
928-93-1203,22.0,HS-grad,Never-married,Own-child,,<=50K
475-73-7100,45.0,,Divorced,Not-in-family,Male,>50K
340-29-4839,69.0,Prof-school,Widowed,Unmarried,,<=50K
009-55-1597,48.0,Bachelors,Married-civ-spouse,Husband,,
178-47-0515,47.0,Prof-school,Divorced,Not-in-family,Male,
303-83-9066,,,Divorced,Unmarried,Female,<=50K
016-83-0466,24.0,,Never-married,Not-in-family,Female,<=50K
561-45-5773,40.0,HS-grad,Married-civ-spouse,Husband,,<=50K
194-59-4594,74.0,,Married-civ-spouse,,Male,<=50K
812-80-7124,,,Never-married,Unmarried,,<=50K
636-97-7886,21.0,,,,,<=50K
849-84-6436,26.0,Bachelors,Never-married,Own-child,Male,
444-41-0318,40.0,HS-grad,Married-civ-spouse,,,<=50K
103-25-5528,66.0,Some-college,Married-civ-spouse,,,<=50K
835-35-0122,54.0,Assoc-voc,Divorced,Not-in-family,Female,
077-05-7739,28.0,,Married-civ-spouse,Husband,,
427-18-0589,37.0,,Married-civ-spouse,Wife,,>50K
517-75-1842,60.0,,Married-civ-spouse,Husband,Male,>50K
867-29-1153,28.0,,Never-married,Not-in-family,Male,
629-26-9041,29.0,Some-college,Never-married,Not-in-family,Male,<=50K
204-54-5454,30.0,HS-grad,Married-civ-spouse,Own-child,,
131-01-9655,63.0,,Married-civ-spouse,Husband,,<=50K
251-25-9213,37.0,Some-college,Married-civ-spouse,Wife,,
000-64-4963,25.0,Preschool,,,Male,<=50K
482-40-1719,42.0,HS-grad,Divorced,Not-in-family,Female,<=50K
950-52-2112,31.0,,Never-married,,,
116-61-5478,64.0,Some-college,Widowed,Unmarried,Female,<=50K
425-73-7100,63.0,5th-6th,Widowed,Unmarried,Female,<=50K
393-55-0368,33.0,,Married-civ-spouse,Husband,Male,>50K
146-34-5208,35.0,,Married-civ-spouse,Husband,Male,
290-72-4815,38.0,,Never-married,Not-in-family,Male,
759-24-4470,50.0,HS-grad,Married-civ-spouse,Wife,Male,<=50K
485-16-5847,47.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
860-25-7984,42.0,HS-grad,Married-civ-spouse,Husband,Female,<=50K
456-54-1768,46.0,Bachelors,Married-civ-spouse,Husband,Male,
206-08-1080,32.0,,Divorced,Own-child,,
774-84-6436,51.0,,,Not-in-family,Female,<=50K
839-40-4176,37.0,,Divorced,Not-in-family,,<=50K
583-29-2382,19.0,Some-college,Never-married,,Female,<=50K
672-69-6559,52.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
906-48-0343,48.0,HS-grad,Never-married,Unmarried,Female,<=50K
127-18-0589,60.0,HS-grad,,,Female,
261-21-0073,33.0,7th-8th,Never-married,Not-in-family,,
582-00-2456,33.0,HS-grad,Divorced,Not-in-family,Female,
771-92-8746,43.0,Bachelors,Married-civ-spouse,Husband,,
893-82-6780,44.0,,Never-married,Other-relative,,<=50K
510-47-2972,23.0,Assoc-acdm,Never-married,Own-child,Female,<=50K
794-31-8181,51.0,Masters,Never-married,Not-in-family,Female,
515-90-9090,44.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
277-30-3439,32.0,HS-grad,Married-civ-spouse,Husband,,
664-49-6313,53.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
953-00-9827,52.0,Masters,,Other-relative,Female,>50K
440-57-1252,57.0,Masters,Married-civ-spouse,Husband,Male,
862-22-3586,19.0,HS-grad,,Not-in-family,Female,>50K
809-73-5871,19.0,Some-college,Never-married,Own-child,Female,
447-20-5159,39.0,Bachelors,Married-civ-spouse,Husband,,
202-79-4840,44.0,,,Not-in-family,,<=50K
613-78-9925,32.0,Bachelors,Married-civ-spouse,Wife,,
698-58-7222,,,Never-married,Own-child,,
520-51-5969,32.0,HS-grad,Married-civ-spouse,,,<=50K
193-85-7493,35.0,Some-college,,Husband,Male,<=50K
122-85-0122,,,Never-married,Own-child,,
945-51-5969,21.0,Some-college,Never-married,Not-in-family,Male,<=50K
025-18-4275,54.0,HS-grad,Married-civ-spouse,Husband,,
356-97-1744,32.0,HS-grad,Separated,Unmarried,,
312-92-9975,22.0,,Never-married,Own-child,Male,
073-61-7936,52.0,,Married-civ-spouse,,Male,>50K
540-78-6240,36.0,,Married-civ-spouse,Husband,Male,
172-08-2309,53.0,,,Husband,Male,>50K
972-63-5134,21.0,,,Own-child,Female,<=50K
804-17-6903,47.0,Some-college,Married-civ-spouse,Wife,Male,<=50K
542-50-6141,18.0,Some-college,Never-married,Own-child,,<=50K
583-35-3807,23.0,Some-college,,Own-child,,<=50K
006-66-4619,53.0,Doctorate,Married-civ-spouse,,,
022-38-9434,,,,,Female,
876-78-1325,22.0,,Never-married,Not-in-family,Male,<=50K
408-07-7395,35.0,,,Not-in-family,,
799-07-8623,40.0,Bachelors,,,,<=50K
547-23-5871,44.0,Assoc-voc,,,,
661-39-4348,37.0,HS-grad,Married-civ-spouse,Husband,Male,
162-71-4987,,,Never-married,Own-child,Female,<=50K
881-84-8893,,,Married-civ-spouse,Own-child,Female,<=50K
388-63-6363,56.0,10th,Divorced,,Female,
869-19-5330,58.0,10th,Married-civ-spouse,Husband,Male,
908-01-5969,48.0,Some-college,Married-civ-spouse,Wife,Male,<=50K
104-66-8304,43.0,,,Unmarried,Male,
631-51-1055,73.0,Prof-school,Divorced,Not-in-family,,
569-53-3168,35.0,,,Own-child,,<=50K
953-47-0515,31.0,HS-grad,Married-civ-spouse,Husband,Male,
649-23-2186,42.0,,Married-civ-spouse,Husband,Male,>50K
266-49-2628,57.0,,Divorced,Not-in-family,Female,<=50K
472-11-3021,61.0,Assoc-voc,Married-civ-spouse,,Male,<=50K
602-88-6977,33.0,Masters,Married-civ-spouse,,,<=50K
243-58-1080,34.0,Bachelors,,Husband,,
674-81-5724,38.0,HS-grad,Divorced,,,
051-07-4938,30.0,Assoc-acdm,,Husband,Female,<=50K
303-13-2677,52.0,,,Unmarried,,
920-57-7394,67.0,,Married-civ-spouse,Husband,Male,>50K
465-66-3390,28.0,,Married-civ-spouse,Wife,,
581-84-8893,50.0,,Married-civ-spouse,Husband,,
518-36-6092,20.0,,Never-married,,Male,<=50K
470-54-6682,54.0,Some-college,Divorced,Unmarried,Male,
216-46-1916,32.0,10th,Divorced,Unmarried,Female,<=50K
073-67-9361,24.0,,Married-civ-spouse,Husband,Male,
627-42-6289,,Some-college,Divorced,,,
888-91-2775,32.0,7th-8th,Married-civ-spouse,Husband,Male,
182-09-4594,60.0,HS-grad,Married-civ-spouse,Husband,,
582-67-8132,,,Married-civ-spouse,Husband,,>50K
700-85-9950,26.0,Some-college,Married-civ-spouse,Husband,,
624-26-2898,54.0,HS-grad,Divorced,Not-in-family,,<=50K
453-04-0540,43.0,Some-college,Married-civ-spouse,Husband,Male,
089-74-2014,34.0,HS-grad,Never-married,Unmarried,,>50K
194-90-1719,,Some-college,,Husband,Male,<=50K
749-99-9999,42.0,Some-college,,Not-in-family,Male,<=50K
615-04-9139,52.0,7th-8th,Married-civ-spouse,,Male,
622-91-1547,35.0,10th,Married-civ-spouse,Husband,,<=50K
568-79-6068,19.0,,Never-married,Own-child,,
353-65-4790,34.0,,Never-married,Other-relative,,
798-83-2923,27.0,Some-college,,Husband,,>50K
501-47-4200,35.0,,Divorced,Unmarried,Female,<=50K
950-30-7124,49.0,Assoc-voc,,Not-in-family,Male,<=50K
239-43-4889,61.0,HS-grad,Married-civ-spouse,Husband,,
184-73-5872,53.0,Masters,Married-civ-spouse,Wife,Female,<=50K
242-59-8279,24.0,,Never-married,Own-child,Male,<=50K
368-79-6068,32.0,11th,Married-civ-spouse,Husband,,>50K
827-67-1989,26.0,HS-grad,Never-married,Not-in-family,Male,<=50K
746-00-7370,30.0,Some-college,Never-married,Unmarried,Male,
142-16-8304,49.0,,Married-civ-spouse,Husband,,
584-39-8033,19.0,,Never-married,Own-child,,
815-07-9851,31.0,Bachelors,Married-civ-spouse,Own-child,Male,<=50K
503-65-4790,22.0,HS-grad,Never-married,Own-child,,<=50K
931-87-9605,37.0,HS-grad,Married-civ-spouse,,Male,
504-05-4053,,HS-grad,Married-civ-spouse,Husband,Male,>50K
165-50-9827,38.0,,,Husband,Female,<=50K
112-34-6437,53.0,,,Not-in-family,Male,<=50K
932-70-8844,38.0,,Divorced,Unmarried,Male,
286-14-8648,39.0,Bachelors,Married-civ-spouse,Husband,,<=50K
067-19-9017,29.0,,Married-civ-spouse,,Female,
348-46-4373,63.0,,,Husband,Male,<=50K
027-67-1990,33.0,HS-grad,,Husband,Male,
234-70-5159,17.0,HS-grad,,,,>50K
058-78-3783,46.0,Assoc-acdm,,Unmarried,Male,<=50K
149-69-2874,53.0,Some-college,Married-civ-spouse,Husband,,
963-94-3487,58.0,,,,Female,<=50K
870-76-1669,37.0,,Married-civ-spouse,Husband,Male,<=50K
419-25-6756,35.0,,Divorced,Not-in-family,Female,
097-32-8009,28.0,,,Other-relative,,
733-04-6682,41.0,Some-college,Married-civ-spouse,,,>50K
342-38-3292,39.0,,Never-married,Unmarried,Female,<=50K
975-03-0711,40.0,,Divorced,Not-in-family,Male,<=50K
855-12-8991,,Bachelors,Never-married,,Female,<=50K
619-25-6756,35.0,Doctorate,,Not-in-family,,>50K
